name, value
i0, 1.0
r_{I}0,0.0
I0,50.0
O0,1.0
I_{O}0,0.0
R0, 100.0
R_{O}0, 0.0
r_{lac}0, 0.0
Z0, 0.0
I_{L}0, 0.0
