From,From FIPS,To,To FIPS,Airline,Flight #,Equipment,Seats,,FIPS,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/home/?cid=nrcs143_013697,
ACK,25019,HYA,25001,Cape Air,101,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7641,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7761,Cessna (Light),9,,,,
BOS,25025,JFK,36081,Amerian,161,Boeing 737,172,,,,
BOS,25025,JFK,36081,Delta,1172,Boeing 717,110,,,,
BOS,25025,JFK,36081,Delta,2017,Boeing 717,110,,,,
BOS,25025,JFK,36081,Delta,2804,Boeing 717,110,,,,
BOS,25025,JFK,36081,Delta,5419,CRJ-900,76,,,,
BOS,25025,JFK,36081,American,3407,ERJ-140,44,,,,
BOS,25025,JFK,36081,Delta,5266,CRJ-900,76,,,,
BOS,25025,JFK,36081,American,2390,A321,181,,,,
BOS,25025,JFK,36081,Delta,5440,CRJ-900,76,,,,
BOS,25025,JFK,36081,American,3394,ERJ-140,44,,,,
BOS,25025,JFK,36081,Delta,2542,A319,128,,,,
BOS,25025,JFK,36081,American,3392,ERJ-140,44,,,,
BOS,25025,JFK,36081,Delta,5170,CRJ-900,76,,,,
BOS,25025,JFK,36081,American,3389,ERJ-140,44,,,,
BOS,25025,JFK,36081,jetBlue,917,ERJ-190,100,,,,
BOS,25025,JFK,36081,jetBlue,517,ERJ-190,100,,,,
BOS,25025,JFK,36081,jetBlue,2317,ERJ-190,100,,,,
BOS,25025,JFK,36081,jetBlue,317,ERJ-190,100,,,,
BOS,25025,JFK,36081,jetBlue,2017,ERJ-190,100,,,,
BOS,25025,JFK,36081,jetBlue,1117,ERJ-190,100,,,,
BOS,25025,LGA,36081,American,2137,A319,128,,,,
BOS,25025,LGA,36081,American,2152,A319,128,,,,
BOS,25025,LGA,36081,Delta,5636,ERJ-175,76,,,,
BOS,25025,LGA,36081,Delta,5627,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2165,A319,128,,,,
BOS,25025,LGA,36081,Delta,5913,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2132,A319,128,,,,
BOS,25025,LGA,36081,Delta,2617,Boeing 717,110,,,,
BOS,25025,LGA,36081,American,2126,A319,128,,,,
BOS,25025,LGA,36081,Delta,2686,Boeing 717,110,,,,
BOS,25025,LGA,36081,Delta,5629,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2163,A319,128,,,,
BOS,25025,LGA,36081,Delta,5860,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2121,A319,128,,,,
BOS,25025,LGA,36081,Delta,5807,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2136,A319,128,,,,
BOS,25025,LGA,36081,Delta,5956,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2162,A319,128,,,,
BOS,25025,LGA,36081,American,2118,A319,128,,,,
BOS,25025,LGA,36081,Delta,5821,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2131,A319,128,,,,
BOS,25025,LGA,36081,Delta,5796,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2146,A319,128,,,,
BOS,25025,LGA,36081,Delta,5805,ERJ-175,76,,,,
BOS,25025,LGA,36081,American,2172,A319,128,,,,
BOS,25025,LGA,36081,American,2157,A319,128,,,,
BOS,25025,LGA,36081,American,2141,A319,128,,,,
BOS,25025,LGA,36081,Delta,5827,ERJ-175,76,,,,
BOS,25025,LGA,36081,Delta,5628,ERJ-175,76,,,,
BOS,25025,LGA,36081,Delta,5634,ERJ-175,76,,,,
BOS,25025,LGA,36081,Delta,5910,ERJ-175,76,,,,
BOS,25025,LGA,36081,Delta,5635,ERJ-175,76,,,,
BOS,25025,LGA,36081,jetBlue,731,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,831,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1931,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1831,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1231,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1731,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,631,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,2031,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1331,ERJ-190,100,,,,
BOS,25025,LGA,36081,jetBlue,1431,ERJ-190,100,,,,
BOS,25025,ROC,36055,American,3401,ERJ-140,44,,,,
BOS,25025,ROC,36055,American,4096,ERJ-140,44,,,,
BOS,25025,ROC,36055,jetBlue,713,ERJ-190,100,,,,
BOS,25025,ROC,36055,American,3661,ERJ-140,44,,,,
BOS,25025,SYR,36067,American,3497,ERJ-140,44,,,,
BOS,25025,SYR,36067,jetBlue,845,ERJ-190,100,,,,
BOS,25025,ACK,25019,Cape Air,5211,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5411,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5351,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5391,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5291,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5311,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5331,Cessna (Light),9,,,,
BOS,25025,ACK,25019,Cape Air,5371,Cessna (Light),9,,,,
BOS,25025,HYA,25001,Cape Air,7171,Cessna (Light),9,,,,
BOS,25025,MVY,25007,Cape Air,3051,Cessna (Light),9,,,,
BOS,25025,MVY,25007,Cape Air,3211,Cessna (Light),9,,,,
BOS,25025,MVY,25007,Cape Air,3291,Cessna (Light),9,,,,
BOS,25025,MVY,25007,Cape Air,3011,Cessna (Light),9,,,,
BOS,25025,PVC,25001,Cape Air,2071,Cessna (Light),9,,,,
BOS,25025,PVC,25001,Cape Air,2271,Cessna (Light),9,,,,
BOS,25025,PVC,25001,Cape Air,2331,Cessna (Light),9,,,,
BOS,25025,EWR,34013,United,1236,A319,128,,,,
BOS,25025,EWR,34013,United,2180,Boeing 737,172,,,,
BOS,25025,EWR,34013,United,251,Boeing 737,172,,,,
BOS,25025,EWR,34013,United,700,A319,128,,,,
BOS,25025,EWR,34013,Delta,5806,ERJ-175,76,,,,
BOS,25025,EWR,34013,Delta,5891,ERJ-175,76,,,,
BOS,25025,EWR,34013,United,1402,Boeing 737,172,,,,
BOS,25025,EWR,34013,Delta,5874,ERJ-175,76,,,,
BOS,25025,EWR,34013,United,2394,Boeing 737,172,,,,
BOS,25025,EWR,34013,United,249,Boeing 737,172,,,,
BOS,25025,EWR,34013,United,2248,A320,150,,,,
BOS,25025,EWR,34013,United,655,Boeing 737,172,,,,
BOS,25025,EWR,34013,United,1423,Boeing 737,172,,,,
BOS,25025,EWR,34013,Delta,5657,ERJ-175,76,,,,
BOS,25025,EWR,34013,United,286,Boeing 737,172,,,,
BOS,25025,EWR,34013,Delta,5597,ERJ-175,76,,,,
BOS,25025,EWR,34013,jetBlue,2279,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,579,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,2479,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,2379,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,2979,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,2579,ERJ-190,100,,,,
BOS,25025,EWR,34013,jetBlue,2679,ERJ-190,100,,,,
BOS,25025,EWR,34013,United,792,Boeing 737,172,,,,
HYA,25001,ACK,25019,Cape Air,7831,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,7571,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,100,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,7551,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,7651,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,7591,Cessna (Light),9,,,,
HYA,25001,ACK,25019,Cape Air,7511,Cessna (Light),9,,,,
HYA,25001,BOS,25025,Cape Air,7041,Cessna (Light),9,,,,
HYA,25001,BOS,25025,Cape Air,7161,Cessna (Light),9,,,,
MVY,25007,BOS,25025,Cape Air,3001,Cessna (Light),9,,,,
MVY,25007,BOS,25025,Cape Air,3041,Cessna (Light),9,,,,
MVY,25007,BOS,25025,Cape Air,3101,Cessna (Light),9,,,,
MVY,25007,BOS,25025,Cape Air,3061,Cessna (Light),9,,,,
MVY,25007,BOS,25025,Cape Air,3421,Cessna (Light),9,,,,
ORH,25027,JFK,36081,jetBlue,671,ERJ-190,100,,,,
PVC,25001,BOS,25025,Cape Air,2001,Cessna (Light),9,,,,
PVC,25001,BOS,25025,Cape Air,2081,Cessna (Light),9,,,,
PVC,25001,BOS,25025,Cape Air,2281,Cessna (Light),9,,,,
EWR,34013,ALB,36001,United,4937,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4954,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4944,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4900,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4357,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4904,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,5011,ERJ-135/145,50,,,,
EWR,34013,ALB,36001,United,4908,ERJ-135/145,50,,,,
EWR,34013,ROC,36055,United,4909,ERJ-135/145,50,,,,
EWR,34013,ROC,36055,United,4363,ERJ-135/145,50,,,,
EWR,34013,ROC,36055,United,5018,ERJ-135/145,50,,,,
EWR,34013,ROC,36055,United,4037,ERJ-135/145,50,,,,
EWR,34013,ROC,36055,United,4155,ERJ-135/145,50,,,,
EWR,34013,SYR,36067,United,4454,Bombardier Regional Jet 550,50,,,,
EWR,34013,SYR,36067,United,4456,Bombardier Regional Jet 550,50,,,,
EWR,34013,SYR,36067,United,4579,Bombardier Regional Jet 550,50,,,,
EWR,34013,BOS,25025,United,1008,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,747,A319,128,,,,
EWR,34013,BOS,25025,United,312,Boeing 737,172,,,,
EWR,34013,BOS,25025,Delta,5874,ERJ-175,76,,,,
EWR,34013,BOS,25025,Delta,5840,ERJ-175,76,,,,
EWR,34013,BOS,25025,Delta,5891,ERJ-175,76,,,,
EWR,34013,BOS,25025,United,1589,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,1663,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,2045,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,660,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,402,Boeing 737,172,,,,
EWR,34013,BOS,25025,Delta,5902,ERJ-175,76,,,,
EWR,34013,BOS,25025,United,621,Boeing 737,172,,,,
EWR,34013,BOS,25025,United,526,A319,128,,,,
EWR,34013,BOS,25025,United,602,Boeing 737,172,,,,
EWR,34013,BOS,25025,Delta,5597,ERJ-175,76,,,,
EWR,34013,BOS,25025,United,1125,Boeing 737,172,,,,
EWR,34013,BOS,25025,jetBlue,2280,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,2380,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,580,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,2980,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,918,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,2580,ERJ-190,100,,,,
EWR,34013,BOS,25025,jetBlue,2680,ERJ-190,100,,,,
EWR,34013,EWR,34013,United,5003,ERJ-135/145,50,,,,
EWR,34013,PVD,44003,United,4887,ERJ-135/145,50,,,,
EWR,34013,PVD,44003,United,4945,ERJ-135/145,50,,,,
PVD,44003,EWR,34013,United,4974,ERJ-135/145,50,,,,
PVD,44003,EWR,34013,United,5031,ERJ-135/145,50,,,,
PVD,44003,EWR,34013,United,4939,ERJ-135/145,50,,,,
PVD,44003,EWR,34013,United,5030,ERJ-135/145,50,,,,
PVD,44003,EWR,34013,United,5024,ERJ-135/145,50,,,,
