,geonames:4829764,geonames:5879092,geonames:5551752,geonames:4099753,geonames:5332921,geonames:5417618,geonames:4831725,geonames:4142224,geonames:4140963,geonames:4155751,geonames:4197000,geonames:5855797,geonames:5596512,geonames:4896861,geonames:4921868,geonames:4862182,geonames:4273857,geonames:6254925,geonames:4331987,geonames:4971068,geonames:4361885,geonames:6254926,geonames:5001836,geonames:5037779,geonames:4436296,geonames:4398678,geonames:5667009,geonames:5073708,geonames:5509151,geonames:5090174,geonames:5101760,geonames:5481136,geonames:5128638,geonames:4482348,geonames:5690763,geonames:5165418,geonames:4544379,geonames:5744337,geonames:6254927,geonames:5224323,geonames:4597040,geonames:5769223,geonames:4662168,geonames:4736286,geonames:5549030,geonames:5242283,geonames:6254928,geonames:4140963,geonames:4826850,geonames:5279468,geonames:5843591,geonames:5880801,geonames:4043988,geonames:4041468,geonames:4566966,geonames:4796775
geonames:4829764,0.0,0.0,0.0,0.0,0.0,1.5330188679245282,0.0,0.0,0.0,4.226415094339623,20.17452830188679,0.0,0.0,4.438679245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.5424528301886793,0.0,0.6367924528301887,0.0,0.0,0.0,0.0,0.0,1.0943396226415094,0.0,0.0,0.0,0.9292452830188679,8.778301886792454,0.0,0.0,0.0,0.0,1.2169811320754718,0.0,0.0,0.0,0.0,23.67452830188679,0.0,0.0,3.5660377358490565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:5879092,0.0,47.839622641509436,0.3113207547169811,0.0,0.5188679245283019,0.8301886792452831,0.0,0.0,0.0,0.0,0.0660377358490566,0.8915094339622641,0.0,0.3113207547169811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6132075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1132075471698113,0.0,0.0,0.0,0.0,0.0,0.2783018867924528,0.0,0.0,0.0,22.38679245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:5551752,0.0,0.3113207547169811,19.391509433962263,0.38207547169811323,105.43396226415095,30.830188679245282,0.0,0.0,0.0,8.141509433962264,7.650943396226415,2.556603773584906,2.693396226415094,20.41509433962264,3.7122641509433962,3.4150943396226414,1.4811320754716981,1.7547169811320755,1.8066037735849056,0.0,2.891509433962264,3.2547169811320753,6.245283018867925,8.19811320754717,0.0,10.25,1.5566037735849056,4.0,19.90566037735849,0.0,3.3867924528301887,8.533018867924529,4.731132075471698,6.150943396226415,2.759433962264151,2.3867924528301887,4.316037735849057,9.419811320754716,6.566037735849057,0.0,0.0,2.6745283018867925,4.330188679245283,52.47641509433962,17.58490566037736,0.0,2.981132075471698,17.09433962264151,0.0,5.7924528301886795,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4099753,0.0,0.0,0.3160377358490566,0.0,0.5518867924528302,2.957547169811321,0.0,0.0,0.0,1.6745283018867925,8.599056603773585,0.0,0.0,5.584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08018867924528301,0.6886792452830188,0.0,1.6462264150943395,0.0,0.0,0.8726415094339622,0.0,0.4056603773584906,0.0,1.099056603773585,6.028301886792453,0.0,0.0,0.0,0.0,0.45754716981132076,0.0,0.0,0.0,0.22169811320754718,25.32075471698113,0.0,0.0,1.0896226415094339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:5332921,0.0,0.5235849056603774,105.75,0.5566037735849056,461.1509433962264,87.37264150943396,0.02830188679245283,0.0,0.0,24.5,27.933962264150942,40.87735849056604,12.495283018867925,48.448113207547166,1.759433962264151,0.09433962264150944,0.08018867924528301,1.5754716981132075,5.9245283018867925,0.0,7.75,17.04245283018868,10.306603773584905,14.19811320754717,0.0,13.900943396226415,1.9858490566037736,1.7169811320754718,104.54245283018868,0.0,19.212264150943398,6.443396226415095,37.49528301886792,13.514150943396226,0.018867924528301886,3.0047169811320753,1.0754716981132075,54.75,10.471698113207546,0.0,0.0,0.08018867924528301,8.367924528301886,122.29245283018868,56.33018867924528,0.0,15.382075471698114,85.73113207547169,0.0,0.9056603773584906,1.650943396226415,0.0,0.0,0.0,0.0,0.0
geonames:5417618,1.5330188679245282,0.8443396226415094,30.56132075471698,3.047169811320755,88.32075471698113,40.594339622641506,1.240566037735849,0.0,0.0,25.5188679245283,12.95754716981132,1.740566037735849,7.287735849056604,22.94811320754717,5.5,5.518867924528302,6.919811320754717,4.212264150943396,5.25,0.0,6.188679245283019,5.19811320754717,7.377358490566038,10.806603773584905,0.0,16.495283018867923,11.047169811320755,10.716981132075471,19.900943396226417,0.0,5.580188679245283,6.212264150943396,10.81132075471698,9.028301886792454,8.415094339622641,6.306603773584905,7.443396226415095,12.485849056603774,7.773584905660377,0.0,1.3632075471698113,7.306603773584905,9.61320754716981,70.02830188679245,23.485849056603772,0.05188679245283019,11.38679245283019,19.32547169811321,0.0,7.056603773584905,10.816037735849056,0.0,0.0,0.0,0.0,0.0
geonames:4831725,0.0,0.0,0.0,0.0,0.02830188679245283,1.2358490566037736,0.0,0.0,0.0,15.495283018867925,4.150943396226415,0.0,0.0,5.64622641509434,0.0,0.0,0.0,0.33962264150943394,0.0,0.0,3.669811320754717,0.0,3.0377358490566038,2.061320754716981,0.0,0.49528301886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.773584905660377,0.0,0.33962264150943394,0.0,0.0,2.9858490566037736,0.0,0.5424528301886793,0.0,0.0,1.2547169811320755,0.0,0.02830188679245283,5.35377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2028301886792452,0.0
geonames:4142224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4140963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4155751,4.113207547169812,0.0,8.075471698113208,1.6745283018867925,24.443396226415093,25.35377358490566,15.533018867924529,0.0,0.0,58.37264150943396,119.43396226415095,0.0,0.0,79.70754716981132,21.452830188679247,3.061320754716981,0.38207547169811323,22.39622641509434,13.13679245283019,1.8773584905660377,42.14622641509434,39.29716981132076,37.382075471698116,15.372641509433961,0.1179245283018868,23.962264150943398,0.0,1.6415094339622642,9.429245283018869,4.117924528301887,59.556603773584904,0.07547169811320754,104.95283018867924,96.98113207547169,0.5424528301886793,32.216981132075475,1.9150943396226414,0.6462264150943396,64.04716981132076,7.943396226415095,6.330188679245283,0.7405660377358491,35.79716981132076,123.90094339622641,3.240566037735849,0.19811320754716982,56.79716981132076,5.919811320754717,1.7452830188679245,9.674528301886792,0.0,0.0,0.0,0.0,26.858490566037737,4.820754716981132
