0.00012933,3.2521e-05,2.6908e-05,0.00010792,0.00020278,0.00016725,0.00024819,0.00031693,0.00045652,0.00013123,0.00026711,3.8172e-05,2.1719e-05,9.1367e-05,1.7145e-05,9.8157e-05,5.9875e-05,9.2114e-05,8.565e-05,7.1161e-05,8.07e-05,9.7643e-05,8.5123e-05,7.7291e-05,0.00022913,0.00039063,5.1159e-05,0.00052111,4.8533e-05,0.00055567,0.00072082,2.8228e-05,0.0005058,0.00043264,0.00031002,9.0149e-05,0.00031085,0.0011276,0,0,6.8865e-05
0.00032882,8.5362e-05,0.00010008,0.00019643,0.0003481,0.00032929,0.00036578,0.00044747,0.00069494,0.00022086,0.00062724,9.5217e-05,7.7944e-05,0.00036121,6.1149e-05,0.00039465,0.00015111,0.0002717,0.00028277,0.00025628,0.00027508,0.00040841,0.00022026,0.00039292,0.00028064,0.00093038,0.00010579,0.00093437,9.0902e-05,0.0011622,0.0010572,7.6827e-05,0.0010575,0.0009752,0.0012356,0.00013645,0.00078723,0.0019858,3.0941e-05,2.5651e-05,0.00011232
0.00053122,0.00013889,0.0001732,0.00028904,0.00050158,0.00049715,0.00049464,0.00059281,0.00099411,0.00031749,0.00099435,0.00015317,0.00013418,0.00063031,0.00010517,0.00069019,0.00024374,0.00045255,0.00048042,0.00044138,0.00046977,0.00071789,0.00035725,0.00070601,0.0003438,0.0014798,0.0001793,0.0013674,0.00014601,0.0017859,0.0014261,0.00013315,0.00165,0.0015297,0.0021574,0.00018678,0.0012704,0.0028864,6.1228e-05,5.076e-05,0.00015867
0.00074752,0.00019603,0.00025033,0.0003906,0.00067108,0.00067967,0.00064105,0.00075986,0.0013809,0.00042588,0.0013882,0.00021519,0.00019356,0.00091361,0.00015167,0.0010012,0.00034279,0.0006446,0.00068952,0.00063673,0.00067554,0.0010433,0.00050354,0.0010341,0.0004212,0.0020684,0.00027842,0.0018426,0.00021656,0.0024597,0.0018453,0.0002021,0.0023202,0.0021257,0.0031261,0.00024363,0.0017863,0.0038753,9.2594e-05,7.6764e-05,0.00021029
0.00098859,0.00025967,0.00033545,0.00050604,0.00086475,0.00088584,0.00081175,0.00095619,0.0018794,0.00055104,0.0018283,0.00028441,0.00025913,0.0012257,0.00020302,0.0013436,0.00045326,0.00085761,0.00092074,0.00085236,0.00090292,0.0014013,0.00066651,0.0013941,0.00051604,0.0027254,0.00040538,0.0023826,0.00030586,0.0032165,0.002334,0.00028617,0.0031089,0.0027926,0.0041904,0.00030964,0.0023609,0.0049988,0.0001267,0.00010504,0.00026964
0.0012659,0.00033286,0.00043265,0.00064069,0.0010914,0.0011252,0.0010143,0.0011904,0.0025251,0.00069888,0.0023353,0.00036411,0.00033407,0.0015815,0.00026171,0.001734,0.00058041,0.0011018,0.0011852,0.0010986,0.0011628,0.0018092,0.00085392,0.0018033,0.00063224,0.0034812,0.00057021,0.003012,0.00041955,0.0040909,0.0029134,0.00038808,0.0040624,0.0035611,0.0054003,0.00038779,0.0030209,0.0063065,0.00016523,0.00013699,0.0003394
0.0015918,0.00041891,0.00054642,0.00080054,0.0013611,0.0014084,0.0012575,0.0014724,0.0033639,0.00087641,0.0029316,0.00045791,0.0004218,0.0019972,0.00033043,0.0021899,0.00072999,0.0013881,0.0014948,0.0013867,0.001467,0.0022854,0.0010742,0.0022805,0.00077459,0.004369,0.00078788,0.003758,0.00056683,0.0051208,0.0036081,0.00051496,0.0052369,0.0044651,0.0068089,0.00048147,0.0037956,0.0078532,0.00020999,0.00017409,0.00042267
0.0019806,0.00052162,0.00068176,0.00099247,0.0016853,0.0017477,0.0015515,0.0018142,0.0044488,0.0010923,0.0036429,0.00056994,0.00052621,0.0024909,0.00041223,0.0027312,0.00090855,0.0017291,0.0018632,0.0017293,0.0018289,0.0028507,0.0013371,0.0028464,0.00094895,0.0054263,0.0010766,0.0046518,0.00075557,0.0063491,0.0044466,0.00067768,0.0066999,0.0055423,0.0084749,0.00059468,0.0047178,0.0097009,0.00026299,0.00021803,0.00052301
0.0024224,0.00063844,0.00083545,0.0012115,0.0020553,0.0021342,0.0018882,0.0022058,0.0057226,0.0013401,0.0044507,0.00069739,0.0006448,0.0030507,0.00050514,0.0033449,0.0011116,0.0021164,0.0022814,0.0021181,0.0022395,0.0034913,0.0016359,0.0034874,0.00115,0.0066255,0.0014206,0.0056692,0.00097709,0.007743,0.0054047,0.00086881,0.0083964,0.0067646,0.010355,0.00072431,0.0057639,0.011797,0.00032301,0.0002678,0.00063773
0.0029064,0.00076654,0.0010038,0.001452,0.0024616,0.0025583,0.0022586,0.0026369,0.0071717,0.0016159,0.0053349,0.00083718,0.00077472,0.003663,0.00060694,0.0040159,0.0013343,0.0025406,0.0027391,0.0025436,0.0026891,0.0041917,0.0019634,0.0041881,0.001372,0.0079362,0.0018289,0.0067838,0.0012385,0.0092664,0.0064569,0.0010916,0.010308,0.0081008,0.012403,0.00086698,0.0069076,0.014085,0.00038867,0.00032225,0.00076389
