MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_STATE_FIPS,DEST_STATE_NM,Var13_1,ORIGIN_FIPS,DES_FIPS,NUM_SEATS
1,19,2020-01-19,DL,N989DN,860,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,19,2020-01-19,DL,N339NB,928,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,19,2020-01-19,DL,N109DU,982,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,109
1,19,2020-01-19,DL,N345NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,19,2020-01-19,DL,N109DU,1486,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,28,2020-01-28,DL,N362NB,2871,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,28,2020-01-28,DL,N943AT,2967,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,28,2020-01-28,DL,N106DU,2983,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,109
1,28,2020-01-28,DL,N339NB,3022,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,28,2020-01-28,DL,N910AT,3059,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,11,2020-01-11,OO,N264SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,25,2020-01-25,OO,N298SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,26,2020-01-26,OO,N269SY,3614,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,26,2020-01-26,OO,N285SY,3954,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,26,2020-01-26,OO,N285SY,3954,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,27,2020-01-27,OO,N269SY,3520,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,70
1,27,2020-01-27,OO,N269SY,3614,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,27,2020-01-27,OO,N269SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,27,2020-01-27,OO,N280SY,3954,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,27,2020-01-27,OO,N280SY,3954,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,27,2020-01-27,OO,N269SY,4119,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,70
1,28,2020-01-28,OO,N269SY,3520,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,70
1,28,2020-01-28,OO,N283SY,3614,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,28,2020-01-28,OO,N269SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,15,2020-01-15,OO,N298SY,3520,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,70
1,15,2020-01-15,OO,N298SY,3614,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,15,2020-01-15,OO,N298SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,15,2020-01-15,OO,N274SY,3954,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,15,2020-01-15,OO,N274SY,3954,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,15,2020-01-15,OO,N298SY,4119,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,70
1,16,2020-01-16,OO,N298SY,3520,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,70
1,16,2020-01-16,OO,N279SY,3614,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,16,2020-01-16,OO,N298SY,3723,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,16,2020-01-16,OO,N299SY,3954,LGA,36,New York,SYR,36,New York,,36081,36067,70
1,16,2020-01-16,OO,N299SY,3954,SYR,36,New York,LGA,36,New York,,36067,36081,70
1,16,2020-01-16,OO,N298SY,4119,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,70
1,1,2020-01-01,YX,N809MD,5872,JFK,36,New York,ROC,36,New York,,36081,36055,69
1,1,2020-01-01,YX,N882RW,5883,ROC,36,New York,JFK,36,New York,,36055,36081,69
1,1,2020-01-01,YX,N203JQ,5884,BUF,36,New York,LGA,36,New York,,36029,36081,76
1,1,2020-01-01,YX,N245JQ,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
1,1,2020-01-01,YX,N242JQ,5928,LGA,36,New York,BUF,36,New York,,36081,36029,76
1,1,2020-01-01,YX,N206JQ,5930,BUF,36,New York,JFK,36,New York,,36029,36081,76
1,1,2020-01-01,YX,N206JQ,5930,JFK,36,New York,BUF,36,New York,,36081,36029,76
1,1,2020-01-01,YX,N239JQ,5942,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
1,1,2020-01-01,YX,N206JQ,5947,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
1,1,2020-01-01,YX,N809MD,5957,JFK,36,New York,SYR,36,New York,,36081,36067,69
1,1,2020-01-01,YX,N809MD,5957,SYR,36,New York,JFK,36,New York,,36067,36081,69
1,1,2020-01-01,YX,N213JQ,5971,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
1,1,2020-01-01,YX,N208JQ,5980,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
1,1,2020-01-01,YX,N211JQ,5987,JFK,36,New York,BUF,36,New York,,36081,36029,76
1,1,2020-01-01,YX,N215JQ,6002,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
1,1,2020-01-01,YX,N242JQ,6005,BUF,36,New York,LGA,36,New York,,36029,36081,76
1,1,2020-01-01,YX,N213JQ,6019,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
1,1,2020-01-01,YX,N212JQ,6020,LGA,36,New York,ROC,36,New York,,36081,36055,76
1,1,2020-01-01,YX,N245JQ,6063,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
1,1,2020-01-01,YX,N823MD,6104,LGA,36,New York,BUF,36,New York,,36081,36029,69
1,1,2020-01-01,YX,N215JQ,6126,JFK,36,New York,ROC,36,New York,,36081,36055,76
1,1,2020-01-01,YX,N215JQ,6126,ROC,36,New York,JFK,36,New York,,36055,36081,76
1,1,2020-01-01,YX,N235JQ,6128,LGA,36,New York,ROC,36,New York,,36081,36055,76
1,1,2020-01-01,YX,N235JQ,6128,ROC,36,New York,LGA,36,New York,,36055,36081,76
1,1,2020-01-01,YX,N872RW,6140,ROC,36,New York,LGA,36,New York,,36055,36081,69
1,2,2020-01-02,YX,N201JQ,5872,JFK,36,New York,ROC,36,New York,,36081,36055,76
1,2,2020-01-02,YX,N211JQ,5879,BUF,36,New York,JFK,36,New York,,36029,36081,76
1,2,2020-01-02,YX,N809MD,5883,ROC,36,New York,JFK,36,New York,,36055,36081,69
1,2,2020-01-02,YX,N823MD,5884,BUF,36,New York,LGA,36,New York,,36029,36081,69
1,2,2020-01-02,YX,N867RW,5885,LGA,36,New York,BUF,36,New York,,36081,36029,69
